FBGN_BAIT	FBGN_INTERACTOR	OVERALL_SAINT_PROB	BAITS_TOTAL	SAMPLES	TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM	AVE_SPECTRALCOUNT_BAITNORM	CONDITIONS_ISOLATED	SAINT_TIME_0	SAINT_TIME_I10	SAINT_TIME_S10	DYNAMICS_PROB_I10_OVER_0	DYNAMICS_PROB_S10_OVER_0	DYNAMICS_PROB_I10_OVER_S10	DYNAMIC_CONDITION	CONTROL_SAMPLES	CONTROL_TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM_CONT	INTERACTION_DETECT_METHODS	REFERENCE	DATE1	DATA_VERSION	SYMBOL_BAIT	SYMBOL_INTERACTOR	DATE_LAST_UPDATED	INTERACTION_TYPE	PUBMEDURL
FBgn0003079	FBgn0027609	0.85	1	2	3	0.001910823	0.020594736	IS		0	0.83	0	0.83	0.83					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	morgue	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0028695	0.92	4	3	6	0.001722626	0.024330128	BIS	0		0.92	0	0.92	0.92					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Rpn1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0032140	0.85	4	1	1	0.000814332	0.012658228	S			0.86	0	0.86	0.86					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	CG13117	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0033926	0.98	12	1	6	0.004885993	0.075949367	S			0.98	0	0.98	0.98		1	1	0.002898551	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Arc1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0039558	0.89	4	1	2	0.001628664	0.025316456	S			0.88	0	0.88	0.88					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	BCAS2	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0267976	0.91	1	1	2	0.001628664	0.025316456	S			0.92	0	0.92	0.92					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Tim23	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0015756	0.954278143	11	4	17	0.003670587	0.056667211	BI	0.06	0.91		0.8608	0.06	0.91	I10 and I10/S10	2	9	0.003777721	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	RpL9	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0031878	0.929162075	10	4	6	0.00129519	0.038812615	BI	0.14	0.82		0.7304	0.14	0.82		1	1	0.002898551	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	sip2	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0015296	1	3	5	48	0.013066856	0.086963513	BIS	0.99	0	1	0.99	0.01	1	I10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	Shc	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004390	FBgn0032388	0.986734471	7	2	4	0.003791432	0.117647059	I		0.97		0.97	0	0.97		1	4	0.003490401	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	RasGAP1	CG6686	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
