FBGN_GENE1_BD	FBGN_GENE2_AD	GENE1_INTERACTIONS_AS_BD	GENE1_INTERACTIONS_TOTAL	GENE2_INTERACTIONS_AS_AD	GENE2_INTERACTIONS_TOTAL	SCREEN	REFERENCE	DATE1	IST	ISTS_RFCS	DATA_VERSION	PMID	URL_PUBMED	DATE_LAST_UPDATED	PUBMEDURL	SYMBOL_BD	SYMBOL_AD	PBSSCORE	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0086384	FBgn0052311	111	112	6	6	embryo	Formstecher et al (2005)	10-Sep-04	Yes	2	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	zormin	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0027287	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	2	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	Gmap	C	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0053095	111	112	1	1	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	CG33095	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0086384	FBgn0053193	111	112	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Mer	sav	D	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013997	FBgn0259212	6	6	7	7	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Nrx-IV	cno	A	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013997	FBgn0261873	6	6	2	2	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Nrx-IV	sdt	A	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013997	FBgn0263108	6	6	56	56	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Nrx-IV	BtbVII	E	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0013997	FBgn0067864	6	6	3	3	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	Nrx-IV	Patj	A	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0014388	FBgn0001253	37	37	3	3	embryo	Formstecher et al (2005)	10-Sep-04	Yes	2	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	ImpE1	A	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
FBgn0014388	FBgn0284408	37	37	5	5	embryo	Formstecher et al (2005)	10-Sep-04	Yes	1	DroID_v2018_08	15710747	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	27-Aug-18	https://www.ncbi.nlm.nih.gov/pubmed/?term=15710747	sty	trol	B	psi-mi:MI:0915(physical association)	psi-mi:MI:0018(two hybrid)
