Gene,Batch,FbID,Condition,Count,Z
CG6099,0,FBgn0002629,Day 3,15,-1.6067732976706848
CG6099,0,FBgn0002629,Day 4 ,34,1.2644332883887146
CG6099,0,FBgn0002629,Day 5,27,2.8236512063229986
CG6099,0,FBgn0002629,Sum,211,0.7804427647758096
CG6127,0,FBgn0004197,Day 1,89,1.093772423371871
CG6127,0,FBgn0004197,Day 2 ,43,-1.001638002735814
CG6127,0,FBgn0004197,Day 3,19,-0.9509474618867318
CG6127,0,FBgn0004197,Day 4 ,35,1.3647851366735333
CG6127,0,FBgn0004197,Day 5,17,0.34676418323264907
CG6127,0,FBgn0004197,Sum,203,0.5474747752904934
CG7109,0,FBgn0004177,Day 1,0,-3.822679378653207
CG7109,0,FBgn0004177,Day 2 ,0,-5.224229582896598
CG7109,0,FBgn0004177,Day 3,0,-4.066120181860509
CG7109,0,FBgn0004177,Day 4 ,0,-2.147529553295118
CG7109,0,FBgn0004177,Day 5,0,-3.8639437560209453
CG7109,0,FBgn0004177,Sum,0,-5.364087957899406
CG7147,0,FBgn0259984,Day 1,51,-1.005386772998387
CG7147,0,FBgn0259984,Day 2 ,43,-1.001638002735814
CG7147,0,FBgn0259984,Day 3,34,1.5083994223030917
CG7147,0,FBgn0259984,Day 4 ,29,0.7626740469646216
CG7147,0,FBgn0259984,Day 5,10,-1.3870567329305958
CG7147,0,FBgn0259984,Sum,167,-0.5008811773934295
CG7734,0,FBgn0003396,Day 1,82,0.7070852029878762
CG7734,0,FBgn0003396,Day 2 ,43,-1.001638002735814
CG7734,0,FBgn0003396,Day 3,25,0.03279129178919753
CG7734,0,FBgn0003396,Day 4 ,28,0.662322198679803
CG7734,0,FBgn0003396,Day 5,28,3.0713399086320337
CG7734,0,FBgn0003396,Sum,206,0.634837771347487
CG8328,0,FBgn0002734,Day 1,69,-0.011048206296685726
CG8328,0,FBgn0002734,Day 2 ,44,-0.9034381985460284
CG8328,0,FBgn0002734,Day 3,14,-1.7707297566166729
CG8328,0,FBgn0002734,Day 4 ,20,-0.14049258759874592
CG8328,0,FBgn0002734,Day 5,11,-1.1393680306215608
CG8328,0,FBgn0002734,Sum,158,-0.7629701655644102
CG8704,0,FBgn0010109,Day 1,86,0.9280493289215876
CG8704,0,FBgn0010109,Day 2 ,41,-1.1980376111153854
CG8704,0,FBgn0010109,Day 3,28,0.5246606686271622
CG8704,0,FBgn0010109,Day 4 ,4,-1.7461221601558439
CG8704,0,FBgn0010109,Day 5,14,-0.3963019236944559
CG8704,0,FBgn0010109,Sum,173,-0.3261551852794424
CG9224,0,FBgn0003463,Day 1,59,-0.5634585211309642
CG9224,0,FBgn0003463,Day 2 ,61,0.7659584726803279
CG9224,0,FBgn0003463,Day 3,27,0.360704209681174
CG9224,0,FBgn0003463,Day 4 ,37,1.5654888332431705
CG9224,0,FBgn0003463,Day 5,17,0.34676418323264907
CG9224,0,FBgn0003463,Sum,201,0.48923277791916436
OR,0,Control,Day 1,0,-3.822679378653207
