FbID,Label,SeedStatus,Z
FBgn0023540,CG3630,Connector_Unknown,0.0
FBgn0000117,arm,Seed_Negative,-6.7036285967852045
FBgn0003430,slp1,Seed_Positive,5.1301930878750674
FBgn0261617,nej,Seed_Negative,-5.607802957026203
FBgn0015838,Vang,Connector_Unknown,0.0
FBgn0029175,sotv,Seed_Negative,-6.506827440742437
FBgn0000046,Act87E,Seed_Positive,6.80440634524302
FBgn0086613,Ino80,Connector_Unknown,0.0
FBgn0021796,Tor,Seed_Negative,-7.634412216406263
FBgn0264270,Sxl,Seed_Negative,-7.634412216406263
FBgn0003205,Ras85D,Seed_Positive,5.100662896973429
FBgn0264492,CkIIalpha,Seed_Negative,-5.584191155101881
FBgn0003090,pk,Seed_Negative,-7.634412216406263
FBgn0038167,Lkb1,Connector_Unknown,0.0
FBgn0034970,yki,Seed_Negative,-7.059838051586918
FBgn0004110,tin,Seed_Positive,6.659383028038131
FBgn0030018,slpr,Connector_Unknown,0.0
FBgn0003612,Su(var)2-10,Seed_Negative,-7.232169330307508
FBgn0014343,mirr,Seed_Negative,-5.3460784069708485
FBgn0027535,botv,Connector_Unknown,0.0
FBgn0010379,Akt1,Seed_Negative,-7.232169330307508
FBgn0261592,RpS6,Seed_Negative,-5.607802957026203
FBgn0004177,mts,Seed_Negative,-5.364087957899406
FBgn0000352,cos,Seed_Negative,-7.634412216406263
FBgn0031450,Hrs,Seed_Negative,-5.0476000840010125
FBgn0001965,Sos,Seed_Negative,-6.85878489307956
FBgn0040078,pont,Connector_Unknown,0.0
FBgn0000259,CkIIbeta,Seed_Negative,-5.277237730085711
FBgn0003892,ptc,Seed_Negative,-7.203447450520744
FBgn0001624,dlg1,Seed_Negative,-7.174725570733979
FBgn0026250,eIF1A,Seed_Negative,-5.607802957026203
FBgn0011692,pav,Seed_Negative,-5.584191155101881
FBgn0004647,N,Seed_Negative,-5.607802957026203
FBgn0003444,smo,Connector_Unknown,0.0
FBgn0003124,polo,Seed_Negative,-14.416115138226738
FBgn0037874,Tctp,Connector_Unknown,0.0
FBgn0039044,p53,Connector_Unknown,0.0
FBgn0004856,Bx42,Seed_Negative,-5.607802957026203
FBgn0261988,Gprk2,Seed_Negative,-5.4189085416316365
FBgn0010825,Gug,Seed_Negative,-7.232169330307508
FBgn0014020,Rho1,Seed_Negative,-7.634412216406263
FBgn0036974,eRF1,Seed_Negative,-5.607802957026203
FBgn0021944,Coprox,Connector_Unknown,0.0
FBgn0036790,AstC-R1,Connector_Unknown,0.0
FBgn0020496,CtBP,Seed_Negative,-6.686453614358968
FBgn0024291,Sirt1,Seed_Negative,-7.232169330307508
FBgn0036196,CG11658,Seed_Negative,-6.341006150203638
FBgn0023518,trr,Seed_Negative,-7.232169330307508
FBgn0001139,gro,Seed_Negative,-7.6012479582985035
FBgn0021874,Nle,Seed_Negative,-5.364087957899406
FBgn0002121,l(2)gl,Seed_Positive,5.618166013868934
FBgn0086785,Vps36,Seed_Negative,-7.634412216406263
FBgn0030904,upd2,Seed_Negative,-7.634412216406263
FBgn0041191,Rheb,Seed_Negative,-5.078028346300108
FBgn0030530,jub,Seed_Negative,-6.274677633988119
FBgn0023169,AMPKalpha,Seed_Positive,5.233319929404467
FBgn0010341,Cdc42,Seed_Negative,-5.607802957026203
FBgn0045035,tefu,Seed_Negative,-6.9736724122266205
FBgn0037218,aux,Seed_Negative,-5.014635973671432
FBgn0010909,msn,Seed_Negative,-7.634412216406263
FBgn0037351,RpL13A,Seed_Negative,-5.364087957899406
FBgn0033649,pyr,Seed_Negative,-5.607802957026203
FBgn0000117,arm,Seed_Negative,-7.634412216406263
FBgn0261617,nej,Seed_Negative,-10.698274396000478
FBgn0029175,sotv,Seed_Negative,-14.142135623730951
FBgn0264270,Sxl,Seed_Negative,-14.142135623730951
FBgn0021796,Tor,Seed_Negative,-11.55324629703704
FBgn0003090,pk,Seed_Negative,-12.177746096876879
FBgn0003612,Su(var)2-10,Seed_Negative,-13.67126057944227
FBgn0010379,Akt1,Seed_Negative,-13.435028842544401
FBgn0261592,RpS6,Seed_Negative,-4.737435377304352
FBgn0023172,RhoGEF2,Connector_Unknown,0.0
FBgn0004177,mts,Seed_Negative,-14.762975324080546
FBgn0024846,p38b,Connector_Unknown,0.0
FBgn0000352,cos,Seed_Negative,-14.142135623730951
FBgn0001965,Sos,Seed_Negative,-4.638153208019167
FBgn0005198,gig,Connector_Unknown,0.0
FBgn0000259,CkIIbeta,Seed_Negative,-2.733135794598665
FBgn0003892,ptc,Seed_Negative,-12.97640616625588
FBgn0001624,dlg1,Seed_Negative,-13.67126057944227
FBgn0015268,Nap1,Connector_Unknown,0.0
FBgn0004647,N,Seed_Negative,-8.095287924954139
FBgn0003124,polo,Seed_Negative,-14.129594226926377
FBgn0015282,Rpt2,Connector_Unknown,0.0
FBgn0000499,dsh,Connector_Unknown,0.0
FBgn0004856,Bx42,Seed_Negative,-4.3487067042972685
FBgn0014179,gcm,Connector_Unknown,0.0
FBgn0010825,Gug,Seed_Negative,-4.490128060534577
FBgn0014020,Rho1,Seed_Negative,-14.142135623730951
FBgn0036974,eRF1,Seed_Negative,-7.3924815777716235
FBgn0020496,CtBP,Seed_Negative,-6.305803799666508
FBgn0023518,trr,Seed_Negative,-5.79827560572969
FBgn0021874,Nle,Seed_Negative,-13.67126057944227
FBgn0086785,Vps36,Seed_Negative,-9.73516940171334
FBgn0030904,upd2,Seed_Negative,-4.340273608886885
FBgn0025674,CycK,Connector_Unknown,0.0
FBgn0000635,Fas2,Connector_Unknown,0.0
FBgn0010909,msn,Seed_Negative,-6.869497798238238
FBgn0003444,smo,Connector_Unknown,0.0
FBgn0000117,arm,Seed_Negative,-4.714973488790789
